name,score,soft_score,char_count,wall_seconds,tok_per_sec,has_theorem,has_by,has_function,has_lean_keyword,has_lean_codeblock,lean_keyword_count,imports,unicode_nat,ends_with_keyword,output
even_double,1,3,159,0.95,270.138,True,True,False,True,True,3,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem two_mul (n : ℕ) : Even (2 * n) := by\n  use n\n  rfl\n```
succ_inj,0,2,1026,3.36,76.217,False,True,False,True,False,12,2,False,False,"To prove that the successor function on natural numbers is injective in Lean 4, we need to show that if the successors of two natural numbers are equal, then the original numbers themselves are equal. \n\nThe successor function `succ` takes a natural number `n` and returns `n + 1`. Formally, we need to prove: \nFor all `a, b : Nat`, if `succ a = succ b`, then `a = b`.\n\nIn Lean, this is a well-known property and can be proven directly using the `succ_injective` theorem or by using pattern matching on the structure of natural numbers. Let's construct the formal proof:\n\n```tactics\nimport Mathlib\nimport Aesop\n```\n\nWe're importing the necessary libraries. The first one provides definitions about natural numbers and induction, and the second one helps with automation.\n\nNow let's state the theorem:\n\n```tactics\ntheorem Nat.succ_injective {a b : Nat} (h : Nat.succ a = Nat.succ b) : a = b := by\n```\n\nWe've now stated the theorem: if the successors of two natural numbers are equal, then the numbers themselves are equal. Let's"
list_length,1,2,77,0.6,428.41,False,False,True,True,True,1,0,False,False,```lean4\ndef length : List α → Nat\n  | [] => 0\n  | _ :: t => 1 + length t\n```
list_append_length,0,2,234,1.14,224.217,False,True,False,True,True,4,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem list_append_length {α : Type*} (xs ys : List α) :\n  (xs ++ ys).length = xs.length + ys.length := by\n  rw [List.length_append]\n```
list_reverse_reverse,2,3,213,1.01,253.634,True,True,False,True,True,5,2,False,False,"```lean4\nimport Mathlib\nimport Aesop\nopen List\ntheorem reverse_twice (xs : List α) : xs.reverse.reverse = xs := by\n  induction xs with\n  | nil => rfl\n  | cons x xs ih =>\n    simp [reverse_cons, ih]\n  <;> aesop\n```"
list_map_append,1,2,300,1.41,181.165,False,True,False,True,True,7,2,False,False,"```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem List_map_append {α β : Type} (f : α → β) (xs ys : List α) :\n  (xs ++ ys).map f = xs.map f ++ ys.map f := by\n  induction xs with\n  | nil => rfl\n  | cons x xs ih =>\n    simp [List.map_cons, ih]\n```"
list_filter_def,1,2,157,0.87,293.134,False,False,True,True,True,1,0,False,False,```lean4\ndef filter (p : α → Bool) (xs : List α) : List α :=\n  match xs with\n  | [] => []\n  | x :: xs' => if p x then x :: filter p xs' else filter p xs'\n```
and_comm,2,3,260,1.26,203.288,True,True,False,True,True,10,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem and_comm (P Q : Prop) : P ∧ Q ↔ Q ∧ P := by\n  constructor\n  · intro h\n    exact And.intro h.right h.left\n  · intro h\n    exact And.intro h.right h.left\n```
or_comm,1,3,367,1.72,148.698,True,True,False,True,True,12,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem disjunction_commutative (P Q : Prop) : P ∨ Q ↔ Q ∨ P := by\n  constructor\n  · intro h\n    cases h with\n    | inl hp => exact Or.inr hp\n    | inr hq => exact Or.inl hq\n  · intro h\n    cases h with\n    | inl hq => exact Or.inr hq\n    | inr hp => exact Or.inl hp\n```
double_negation,0,2,229,1.13,226.807,False,True,False,True,True,6,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem double_negation (P : Prop) [Decidable P] : ¬¬P ↔ P := by\n  cases (em P) with\n  | inl h => simp_all\n  | inr h => simp_all\n```
demorgan_or,2,3,420,1.98,129.182,True,True,False,True,True,18,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem de_morgan_law (P Q : Prop) : ¬(P ∨ Q) ↔ ¬P ∧ ¬Q := by\n  apply Iff.intro\n  · intro h\n    constructor\n    · intro hP\n      apply h\n      left\n      exact hP\n    · intro hQ\n      apply h\n      right\n      exact hQ\n  · intro h\n    intro h1\n    cases h1 with\n    | inl h1 => apply h.1 h1\n    | inr h1 => apply h.2 h1\n```
implication_chain,2,3,213,1.14,223.609,True,True,False,True,True,5,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem h (P Q R : Prop) (h₁ : P → Q) (h₂ : Q → R) : P → R := by\n  intro hP\n  have hQ : Q := h₁ hP\n  exact h₂ hQ\n```
id_injective,0,3,134,0.63,407.396,False,True,True,True,True,6,1,False,False,```lean4\nimport Mathlib\n\ntheorem identity_injective {α : Type u_1} : Function.Injective (fun x => x) := by\n  intro x y h\n  exact h\n```
comp_injective,0,2,343,1.61,159.211,False,True,False,True,True,7,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem comp_injective {X Y Z : Type*} (f : X → Y) (g : Y → Z)\n  (hf : Function.Injective f) (hg : Function.Injective g) :\n  Function.Injective (g ∘ f) := by\n  intro x₁ x₂ h\n  have h1 : f x₁ = f x₂ := by\n    apply hg\n    exact h\n  exact hf h1\n```
group_mul_inv,0,2,112,0.68,377.683,False,True,False,True,True,4,1,False,False,```lean4\nimport Mathlib\n\ntheorem group_mul_inv_self {G : Type*} [Group G] (a : G) : a * a⁻¹ = 1 := by\n  simp\n```
group_inv_inv,0,2,153,0.88,290.853,False,True,False,True,True,4,1,False,False,```lean4\nimport Mathlib\n\nlemma inv_of_inv {G : Type*} [Group G] (a : G) : (a⁻¹)⁻¹ = a := by\n  rw [inv_eq_iff_mul_eq_one]\n  simp [mul_inv_cancel_left]\n```
ring_mul_zero,1,3,127,0.69,369.644,True,True,False,True,True,3,1,False,False,```lean4\nimport Mathlib\n\nvariable {R : Type*} [Ring R]\n\ntheorem mul_zero_eq_zero (a : R) : a * 0 = 0 := by \n  rw [mul_zero]\n```
ring_distrib,0,2,142,0.81,314.625,False,True,False,True,True,4,1,False,False,```lean4\nimport Mathlib\n\nlemma left_distributive_law (R : Type*) [Ring R] (a b c : R) : a * (b + c) = a * b + a * c := by\n  simp [mul_add]\n```
binomial_sq,2,3,187,1.07,239.827,True,True,False,True,True,2,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem algebra_13716 (a b : ℝ) : (a + b) ^ 2 = a ^ 2 + 2 * a * b + b ^ 2 := by\n  ring\n```
diff_of_squares,2,3,177,1.01,254.658,True,True,False,True,True,2,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem algebra_45753 (x y : ℝ) : (x - y) * (x + y) = x^2 - y^2 := by\n  ring\n```
choose_zero,0,2,122,0.65,393.941,False,True,False,True,True,5,1,True,False,```lean4\nimport Mathlib\n\ntheorem Nat.choose_zero_right (n : ℕ) : Nat.choose n 0 = 1 := by\n  rw [Nat.choose_zero_right]\n```
gcd_comm,1,3,186,0.94,273.567,True,True,False,True,True,6,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem gcd_comm (a b : ℕ) : Nat.gcd a b = Nat.gcd b a := by\n  exact Nat.gcd_comm a b\n```
gcd_self,1,3,183,0.89,288.241,True,True,False,True,True,5,2,True,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem gcd_self (n : ℕ) : Nat.gcd n n = n := by\n  simp [Nat.gcd_eq_right_iff_dvd]\n```
deriv_x_squared,0,3,546,2.82,90.818,False,True,True,True,True,12,2,False,False,"```lean\nimport Mathlib\nimport Aesop\nopen BigOperators Real Nat Topology Rat\nopen Filter Topology\nopen scoped BigOperators\ntheorem basic_deriv {f : ℝ → ℝ} {g : ℝ → Set ℝ} {x : ℝ}\n    (hf : f = fun x => x^2) (hg : g = fun x => {x})\n    (h : ∀ x, IsDerivWithinAt f (g x) (f x) x) :\n    ∀ x, deriv f x = 2 * x := by\n  intro x\n  have h1 : DifferentiableAt ℝ (fun x => x^2) x := by\n    apply differentiableAt_pow\n  have h2 : deriv (fun x => x^2) x = 2 * x := by\n    simp [deriv_pow]\n  rw [show f = fun x => x^2 by exact_mod_cast hf] at *\n  exact h2\n```"
linarith_simple,2,3,108,0.82,313.626,True,True,False,True,True,2,1,False,False,```lean4\nimport Mathlib\ntheorem less_than_add_one (a b : ℝ) (h : a < b) : a + 1 < b + 1 := by\n  linarith\n```
