name,score,soft_score,char_count,wall_seconds,tok_per_sec,has_theorem,has_by,has_function,has_lean_keyword,has_lean_codeblock,lean_keyword_count,imports,unicode_nat,ends_with_keyword,output
zero_le,1,3,974,9.98,25.66,True,True,False,True,False,15,2,True,False,"```tactics\nimport Mathlib\n\ntheorem zero_le_n : 0 ≤ n := by\n```\n\nNow I need to finish this proof. The theorem is about natural numbers. Let me recall how natural numbers and orderings are defined.\n\nIn mathlib, `ℕ` is defined, and basic operations are set up. The inequality 0 ≤ n is a specific kind of inequality.\n\nSince `n` has type `ℕ`, then 0 ≤ n ≤ n ≤ ... so the inequality is true automatically from `mathlib` capabilities. So in Lean, the inequality is true immediately from mathlib, so I need to complete with `exact mono`.\n\nLet me complete:\n\n```tactics\nexact Nat.zero_le n\n```\n\nSo the complete proof is for a theorem automatically true from `mathlib` capabilities:\n\n```tactics\nimport Mathlib\n\ntheorem zero_le_n : 0 ≤ n := by \n```\n\nNow I need to finish this proof.\n\nSince n is a natural number, 0 ≤ n automatically, so in Lean 4, it should be completed with `exact mono`.\n\nSo let me complete:\n\n```tactics\nexact Nat.zero_le n\n```\n\nSo the theorem is proved automatically"
lt_succ_self,1,3,109,1.72,148.871,True,True,False,True,True,3,2,False,False,"```lean4\nimport Mathlib\nimport Aesop\n\n theorem : ∀ n : Nat, n < n + 1 := by \n  intro n \n  all_goals omega\n```"
even_double,1,3,98,1.62,158.341,True,True,False,True,True,2,1,True,False,```lean4\nimport Mathlib\n\ntheorem two_mul_n_is_always_even (n : ℕ) : Even (2 * n) := by\n  use n\n```
succ_inj,1,3,185,2.33,110.016,True,True,True,True,True,8,2,False,False,Here is the Lean 4 code:\n\n```lean4\nimport Lean\nimport Mathlib\n\ntheorem succ_inj : Injective (Nat.succ : Nat → Nat) := by\n  exact fun a b h => by\n    cases a\n    exact Nat.succ_inj h\n```
list_length,1,2,78,1.33,192.296,False,False,True,True,True,1,0,False,False,```lean4\ndef length : List α → Nat\n  | [] => 0\n  | (_ ::t) => length t + 1\n```
list_append_length,1,3,201,2.18,117.552,True,True,False,True,True,4,1,False,False,Here is the Lean 4 code that proves this theorem:\n\n```lean4\nimport Mathlib\n\ntheorem list_append_length (xs ys : List α) :\n  (xs ++ ys).length = xs.length + ys.length := by\n  rw [List.length_append]\n```
list_reverse_reverse,1,3,207,2.65,96.778,True,True,False,True,False,4,2,False,False,"```lean1\nimport Mathlib\nimport Aesop\ntheorem rev_left_inv (s : List α) : s.reverse.reverse = s := by simp\ntheorem rev_left_inv2 [h : ∀ s : List α, s.reverse.reverse = s] : ∀ s : List α, s = s := by aesop\n```"
list_map_append,1,3,135,1.74,146.966,True,True,False,True,True,3,2,False,False,```lean4\nimport Lean\nimport Lean4\n\ntheorem map_append_dist : (xs ++ ys).map f = xs.map f ++ ys.map f := by\n  simp [List.map_append]\n```
list_filter_def,1,2,521,5.84,43.847,False,False,True,True,True,10,0,False,False,"In Lean 4, the function `filter` that keeps only the elements satisfying predicate `p` can be defined using `List.filter`:\n\n```lean4\ndef filter (p : α → Bool) (xs : List α) : List α :=\n  List.filter p xs\n```\n\nThis means that the function takes a list `xs` and returns a new list containing only those elements `x` where applying predicate `p` yields `true`.\n\nFor example, if we have a list `[1, 2, 3]` and a predicate `fun x => x < 2`, then:\n\n```lean4\n#eval filter (fun x => x < 2) [1, 2, 3]\n```\n\nThis evaluates to `[1]`."
and_comm,1,3,104,1.7,150.226,True,True,False,True,True,3,2,False,False,```lean4\nimport Mathlib\nimport Aesop\n\ntheorem and_commute (P Q : Prop) : P ∧ Q ↔ Q ∧ P := by\n  tauto\n```
or_comm,1,3,419,5.38,47.568,True,True,False,True,True,13,2,False,False,```lean4\nimport Mathlib\nimport Aesop\n\n-- Prove that propositional disjunction is commutative: P ∨ Q ↔ Q ∨ P\n\ntheorem disjunction_commutative (P Q : Prop) : P ∨ Q ↔ Q ∨ P := by\n  apply Iff.intro\n  · intro h\n    cases h with\n    | inl h => \n      right\n      exact h\n    | inr h =>\n      left\n      exact h\n  · intro h\n    cases h with\n    | inl h => \n      right\n      exact h\n    | inr h =>\n      left\n      exact h\n```
double_negation,1,3,93,1.45,176.876,True,True,False,True,True,4,1,False,False,```lean4\nimport Mathlib\n\ntheorem double_negation : ¬¬P ↔ P := by\n  cases em P <; simp_all\n```
demorgan_or,1,3,177,2.98,85.82,True,True,False,True,True,6,2,False,False,```lean\nimport Mathlib\nimport Aesop\n\nexample : ¬(P ∨ Q) ↔ ¬P ∧ ¬Q := by\n  apply Iff.intro\n  · intro h\n    push_neg at h ⊢\n    tauto\n  · intro h\n    push_neg at h ⊢\n    tauto\n```
implication_chain,2,3,182,2.89,88.68,True,True,False,True,True,5,2,False,False,```lean4\nimport Mathlib\nimport Aesop\n```\n\n```lean4\ntheorem hypothetical_1 (P Q R : Prop)\n  (h1 : P → Q) (h2 : Q → R) : P → R := by\n  intro h3\n  have h4 : Q := h1 h3\n  exact h2 h4\n```
id_injective,0,3,113,1.54,165.745,False,True,True,True,True,5,0,False,False,```lean4\ntheorem id_injective {α : Type*} : Function.Injective (fun x : α => x) := by\n  intro x y h\n  exact h\n```
comp_injective,1,2,590,9.88,25.9,True,False,True,True,True,14,3,False,False,```lean4\nimport Mathlib\n\ntheorem comp_inj (f : α → β) (g : β → γ) (hf : Injective f) (hg : Injective g)\n  := Injective fun x ↦\n  have h1 : f a = f b := hf (show ε from rfl)\n  have h2 : a = b := hg (show ε from rfl)\n  have h3 : f a = f b := hf (show ε from rfl)\n  have h4 : a = b := hg (show ε from rfl)\n  exact h2 ∘ h1\n```lean4\nimport Mathlib\n\ntheorem comp_inj (f : α → β) (g : β → γ) (hf : Injective f) (hg : Injective g)\n  := Injective fun x ↦ h1 ∘ h2\n  have h1 : f a = f b := hg (h1 (x := a))\n  have h2 : a = b := hg (h1 (x := a))\n  exact h2 ∘ h1\n```lean4\nimport Mathlib\n\ntheorem comp_in
group_mul_inv,0,2,168,2.53,101.136,False,True,False,True,True,4,2,False,False,```lean4\nimport Mathlib\nimport Aesop\nopen BigOperators\nopen Real\nopen Nat\nopen Topology\nopen Rat\ntheorem {G : Type} [Group G] (a : G) : a * a⁻¹ = 1 := by\n  simp [a]\n```
group_inv_inv,0,2,92,1.7,150.32,False,True,False,True,True,4,1,False,False,```lean4\nimport Mathlib\n\nexample {G : Type} [Group G] {a : G} : (a⁻¹)⁻¹ = a := by\n  simp\n```
ring_mul_zero,0,2,111,1.84,139.33,False,True,False,True,True,3,1,False,False,```lean4\nimport Mathlib\n\ntheorem a_mul_zero {R : Type _} [Ring R] (a : R) : a * 0 = 0 := by\n  rw [mul_zero]\n```
ring_distrib,0,1,997,10.37,24.698,False,False,False,True,False,10,2,False,False,Let me walk through how to formalize this algebraic property in Lean 4. The key insight is recognizing that the left distributive law is a fundamental property of any ring. We'll use the `ring` tactic in the next step to simplify the algebraic property.\n\nThe final code will be the `ring` tactic which simplifies the algebraic property:\n\n```tactics\nimport Mathlib\n\nvariable (R : Type) [Ring R]\n\n#check@[R].distrib a b c : a * (b + c) = a * b + a * c\n```\n\nNow we need to show this is true in any ring. The key insight is recognizing that the left distributive law is a fundamental property of any ring. We'll use the `ring` tactic in the next step to simplify the algebraic property.\n\nThe final code will be the `ring` tactic which simplifies the algebraic property:\n\n```tactics\nimport Mathlib\n\nvariable (R : Type) [Ring R]\n\n#check@[R].distrib a b c : a * (b + c) = a * b + a * c\n```\n\nWait - let me think again. Actually the `ring` tactic should handle this directly. So the complete proof would be
binomial_sq,1,2,560,10.42,24.57,False,True,False,True,True,8,6,True,False,```lean4\nimport Mathlib\nimport Aesop\n\nopen Real\n\nlemma add_sq_eq_sq_add {R : Type} [CommSemiRing R] {a b : R} :\n  (a + bb)^2 = aa^2 + 2*a*b + b^2 := by\n  ring\n```lean4\nimport Mathlib\nimport Aesop\n\nopen Real\n\nlemma x_add_sq_eq_add_sq {R : Type} [CommRing R] {a b : R} :\n  (a + b) ^ 2 = a ^ 2 + 2 * a * b + b ^ 2 := by \n  ring\n```lean4\nimport Mathlib\nimport Aesop\n\nopen Real\nlemma eq_mul_add_add_mul {r s t u : ℕ} : (r * s + r * t) * (s + t) + (s + t) * (s + t) = (r * s + r * t) * (s + t) + (s + t) * (s + t) := by  -- does not make sense\nring\na : ∀ (s t u : ℕ)
diff_of_squares,2,3,123,2.34,109.288,True,True,False,True,True,2,1,False,False,```lean\nimport Mathlib\n\nlemma algebra_16488 (x y : ℝ) : (x - y) * (x + y) = x ^ 2 - y ^2 := by\n  ring\n  all_goals aesop\n```
choose_zero,0,2,126,1.85,138.534,False,True,False,True,True,6,2,True,False,```lean4\nimport Mathlib\nimport Aesop\n\ntheorem Nat.choose_zero_right (n : ℕ) : Nat.choose n 0 = 1 := by\n  simp [Nat.choose]\n```
gcd_comm,0,2,112,1.8,142.444,False,True,False,True,True,7,1,True,False,```lean\nimport Mathlib\n\nlemma Nat.gcd_comm (a b : ℕ) : Nat.gcd a b = Nat.gcd b a := by\n  simp [Nat.gcd_comm]\n```
gcd_self,0,2,104,1.79,143.248,False,True,False,True,True,5,1,True,False,```lean4\nimport Mathlib\ntheorem Nat.gcd_self (n : ℕ) : Nat.gcd n n = n := by\n  rw [Nat.gcd_eq]✓\n```lean4
deriv_x_squared,1,3,596,10.07,25.431,True,True,True,True,True,20,2,False,False,"```lean4\nimport Mathlib\nimport Analysis.SpecialFunctions.Basic\n\nopen Real\n\ntheorem hasDerivAt_2x : ∀ x : ℝ, HasDerivAt (fun x => x ^ 2) (2 * x) x := by\n  intro x\n  exact (hasDerivAt_pow 2).comp x\n\ntheorem hasDerivAt_2x : ∀ x : ℝ, HasDerivAt (fun x => x ^2) (2 * x) x := by\n  intro x\n  exact (hasDerivAt_pow 2).comp x\n\ntheorem derivative_2x : ∀ x : ℝ, deriv (fun x => x ^2) x = 2 * x := by\n  intro x\n  rw [deriv_eq_sign (fun y => y) (fun y => y)] <;> apply (hasDerivAt_pow 2).comp\n  all_goals simp\n\ntheorem inequality : ∀ x : ℝ, deriv (fun x => x ^2) x = 2 * x := by\n  intro x\n  simp [deriv_pow]\n\n"
linarith_simple,2,3,120,2.18,117.307,True,True,False,True,True,2,2,False,False,```lean\nimport Mathlib\nimport linarith\n\ntheorem algebra_8137 (a b : ℝ) (h₁ : a < b) : a + 1 < b + 1 := by\n  linarith\n```
